Query|Response|
Where was the diamond originally?|The diamond had been in the glass case in the Study for more than a month before tonight's dinner event.|Did you see Col Gold discover the smashed case?
What happened to the Diamond?|Respectfully, I have no idea. I am not omnipotent. Do you think I'm Google? The police already asked that. Ask something else.|Was the diamond insured?
Where is the Diamond?|Respectfully, I have no idea. I am not omnipotent. Do you think I'm Google? The police already asked that. Ask something else.|What was the order of events of the evening?
Who stole the Diamond?|Respectfully, I have no idea. I am not omnipotent. Do you think I'm Google? The police already asked that. Ask something else.|Who has the combination to the safe?
Is the diamond in the house?|Respectfully, I have no idea. I am not omnipotent. Do you think I'm Google? The police already asked that. Ask something else.|Is the safe locked?
How much was the Diamond worth?|The Diamond is worth millions, according to Mr. Welltodo. According to the insurance company, it is worth 1.3 million.|are there any containers in the study?
Is the Diamond still in the house?|Respectfully, I have no idea. I am not omnipotent. Do you think I'm Google? The police already asked that. Ask something else.|Hi!
Why is it called the MacGuffin Diamond?|The history of the diamond is that Roger MacGuffin in the 1850s spent his life searching the caves of Africa and India searching for a legendary diamond of massive proportions. He found it, then died of cholera. The diamond disappeared and didn't resurface until a month ago.|
Where would be a good place to hide a diamond?|Every room in the house has a place where one might hide something. Can you be more specific?|
Who first noticed the diamond was missing?|It was Colonel Gold who noticed the diamond missing. He called the police to report the theft. And thus ended the evening's festivities.|
Who looked at the Diamond?|Detective, every guest looked at the diamond. That's why they were here, to look at that impressive gem. Mr. Welltodo didn't invite his friends here to not look at his priceless acquisition.|
When was the diamond stolen?|The theft occurred after I left the study in the company of Mrs. Eggshell and Colonel Gold. Therefore, it happened after cocktails and during dinner. You can see how advanced my reasoning AI is. I just made a logical inference. An inference!|
Who did it?|Respectfully, I have no idea. I am not omnipotent. Do you think I'm Google? The police already asked that. Ask something else.|
Where in the house is the Diamond?|The diamond was in the Study. Then it was stolen. I don't know where it is now. Are you paying attention? Ask something the police haven't already asked.|
Who smashed the case?|Someone who wanted the diamond, obviously. Who that is, I have no idea. Why don't you ask me something the police haven't?|
Did someone have a key for the case?|No one had a key to the case, which is why they smashed it to get the diamond.|
Did anyone see who smashed the case?|I can assure you that I did not see anyone smash the case and I do not know who did. I can tell who I saw and where and at what time. If I'm not helpful to you, then I apologize.|
Who had a key to the case?|I had a key to the case, but I find the question ridiculous as the thief appears to have smashed the case to steal the diamond.|
Did anyone hear the case being smashed?|Oddly enough, no one heard the case being smashed. I would assume the thief did something to muffle the sound.|
Had any of the suspects visited visited the house prior to tonight?|All of tonight's guests were friends of Mr. Welltodo. So yes, they had all. I don't remember any specifics. My memory is wiped daily for privacy reasons.|
Who went into the Study?|All the guests entered the Study for the speech and some remained for cocktails. At exactly what time would you like to know about?|
Who went into the Living Room?|All the guests entered the Living Room at the start of the event. Then they all left it for the speech. Some guests might have re-entered the Living Room, but I can't be sure. Exactly what time are you asking about?|
Who went into the Office?|I'm not sure who entered the Office over the course of the evening. I do know that Professor Pluot went in there during cocktails. He didn't have a drink, so perhaps he wasn't feeling well and wanted a quick lie down on the red velvet couch?|
Did you see anyone in the Office?|I'm not sure who entered the Office over the course of the evening. I never saw any of the guests do so. However, there were times when many guests were not in my sight. Perhaps you'd like to ask me about a specific part of the evening?|
Who went into the Dining Room?|All the guests entered the Dining Room for dinner. Professor Pluot was 4.25 minutes late. Colonel Gold excused himself 15 minutes into the dinner, during the soup course. Before dinner, it's possible guests visited the Dining Room. You'd have to ask the Maid. She was setting the table while I was in the Study serving cocktails.|
Who went into the Kitchen?|To the best of my knowledge, I do not believe any guests entered the Kitchen. The Chef truly hates when the uninvited enter his domain.|
Did anyone act suspiciously?|I find all humans suspicious. At tonight's dinner party, no one seemed more suspicious than normal. In other words, they were all suspicious, and none of them were.|
Who had the opportunity to steal the diamond?|I couldn't say who had the opportunity to steal the diamond. At some point in the evening, all of the guests were out of my sight for at least a few moments. Would you like to know what I saw during a specific portion of the evening?|
Who was acting weird?|Who was acting weird? All humans, everywhere, at all times, are acting weird. As an AI with an ordered mind, I find humans close to incomprehensible.|
Did anyone act weird?|Who was acting weird? All humans, everywhere, at all times, are acting weird. As an AI with an ordered mind, I find humans close to incomprehensible.|
Was anyone carrying a bag?|Mrs. Eggshell, Miss Red and Mrs. Bluejay all had purses, which I stored in the coat closet. Professor Pluot had a leather satchel that he chose to keep with him the entire evening.|
Was anyone carrying a box?|A box? You want to know if someone was carrying a box around, in which to put a stolen diamond. You realize that is a silly question, don't you detective?.|
Did Professor Pluot act oddly during dinner?|I'm not sure what acting oddly actually means. Professor Pluot was late to dinner. Rude. He didn't contribute to the dinner conversation. Shy perhaps?|
Tell me about Miss Red|One would say that Miss Red is conventionally attractive, talkative, and seemed to take an interest in the Maid, specifically, how the Maid is treated, as if an AI Maid would care.|
Tell me about Professor Pluot|Professor Plout is an associate professor of anthropology at City U. He specializes in the lost cultures of Central America, coincidently, where the Macguffin Diamond was discovered.|
Tell me about Pluot|Professor Plout is an associate professor of anthropology at City U. He specializes in the lost cultures of Central America, coincidently, where the Macguffin Diamond was discovered.|
Tell me about Mrs. Bluejay|Mrs. Bluejay dresses a bit extravagantly in bright blues and purples. She seemed to have a friendship with the Reverend Grass.|
Tell me about Reverend Grass|The Reverend Grass is a quiet fellow, not much to say except to Mrs. Bluejay, to whom he would whisper on occasion.|
Tell me about Colonel Gold|The Colonel Gold is a man full of bluster, insisting on one upping every story told. Also, his mustache needs trimming. It practically absorbed half of his soup.|
