Query|Response
Where was the diamond originally?|The Diamond, since it arrived at the house, has been kept in the Study within a glass case. Before that, I believe it came from somewhere in Central America.
What happened to the Diamond?|I'm very sorry, but I have no idea what happened to the diamond. I would love to help. Perhaps ask a more specific question about an event, or a room, or a guest?
Where is the Diamond?|I'm very sorry, but I have no idea what happened to the diamond. I would love to help. Perhaps ask a more specific question about an event, or a room, or a guest?
Who stole the Diamond?|I'm very sorry, but I have no idea what happened to the diamond. I would love to help. Perhaps ask a more specific question about an event, or a room, or a guest?
Is the diamond in the house?|I'm very sorry, but I have no idea what happened to the diamond. I would love to help. Perhaps ask a more specific question about an event, or a room, or a guest?
How much was the Diamond worth?|The diamond is quite lovely and very large, but I have no idea how much it is worth. You'd have to ask the butler that. He deals with accounting and insurance. My job is to tend to the house and serve guests.
Is the Diamond still in the house?|I'm very sorry, but I have no idea what happened to the diamond. I would love to help. Perhaps ask a more specific question about an event, or a room, or a guest?
Why is it called the MacGuffin Diamond?|Miss Red told me the story while I prepared the Dining Room for dinner. There was a Roger MacGuffin, who was a daring explorer who robbed an ancient tribe of an artifact. That artifact turned out to be the MacGuffin Diamond. It was also cursed, the story goes, and Roger died of cholera the day after he found the diamond. No one knows what happened to the stone next.
Where would be a good place to hide a diamond?|Where to hide a diamond in this house? Oh my, what a question. You'll have to ask me about each room specifically. There are many place to hide a diamond, but I'd say only one good one in each room.
Who first noticed the diamond was missing?|Colonel Gold reported the diamond missing during dinner, during the soup course to be specific. It's a shame he didn't wait until after dinner. The other guests didn't even get to eat the lovely meal Chef had prepared.
Who looked at the Diamond?|I'm sorry, but isn't that a silly question? All the guests looked at the diamond. The entire evening was about them looking at the diamond.
When was the diamond stolen?|The guests came to dinner discussing it, having just seen it during cocktails. So, I would surmise it was stolen after cocktails? The butler might know better.
Who did it?|I'm very sorry, but I have no idea what happened to the diamond. I would love to help. Perhaps ask a more specific question about an event, or a room, or a guest?
Where in the house is the Diamond?|I'm very sorry, but I have no idea what happened to the diamond. I would love to help. Perhaps ask a more specific question about an event, or a room, or a guest?
Who smashed the case?|I don't know who smashed the case, but I hate that it hasn't been cleaned up yet. I can't wait for the police to allow me back into the room. Untidiness makes me nervous.
Did someone have a key for the case?|The butler had a key for the case, but why even ask? The case was smashed. Everyone knows that.
Did anyone see who smashed the case?|I did not see who smashed the case. I spent most of the evening in the Dining Room preparing for dinner, and then I served dinner.
Who had a key to the case?|The butler had a key for the case, but why even ask? The case was smashed. Everyone knows that.
Did anyone hear the case being smashed?|I didn't hear the case being smashed, and I didn't hear anyone apologize for making a mess that I would have to clean up. I would suppose that they someone muffled the sound.
Had any of the suspects visited visited the house prior to tonight?|These were Mr. Welltodo's friends, so of course they had been in the house before. Don't ask me details. My memory is wiped once a day to protect the Welltodo's privacy.
Who went into the Study?|I am not sure who entered the Study and at what time. You might ask the butler, as cocktails were served in the Study after the speech. I was in the Dining Room most of the night, setting the table and serving. I never get to do any of the fun things.
Who went into the Living Room?|All the guests, and the Butler and I, were in the Living Room at the start of the event. Then I went to the Dining Room to prepare for dinner. I did see Reverend Grass and Mrs. Bluejay in the Living just before dinner. They were...entertaining each other. And then broke a lamp, for which they apologized thoroughly.
Who went into the Office?|I am not sure who entered the Office or at what time. It could be that no one entered the Office, as no events were planned in Mr. Welltodo's private space. A guest might have wandered in there. I have no idea. Perhaps ask the butler.
Did you see anyone in the Office?|I am not sure who entered the Office or at what time. It could be that no one entered the Office, as no events were planned in Mr. Welltodo's private space. A guest might have wandered in there. I have no idea. Perhaps ask the butler.
Who went into the Dining Room?|I was in the Dining Room during dinner. The guests, they were all in the Dining Room for dinner. Professor Pluot was late. He was in the living room as we started dinner for some reason. Perhaps he was concerned about the broken lamp? Colonel Gold left during the soup course.
Who went into the Kitchen?|Oh heavens, no one went into the Kitchen. The chef is quite sensitive to being disturbed. I wouldn't go in there if I were you.
Did anyone act suspiciously?|Suspiciously? Oh my goodness, I don't even know the meaning of the word. Perhaps you should ask me about what exactly I saw and at exactly what time.
Who had the opportunity to steal the diamond?|I don't even know how to answer that question. Perhaps you should ask me about what exactly I saw and at exactly what time.
Who was acting weird?|Well, I have to say that they were all unique people, some odd, some eccentric, some withdrawn. Who in specific would you like to know about?
Did anyone act weird?|Well, I have to say that they were all unique people, some odd, some eccentric, some withdrawn. Who in specific would you like to know about?
Was anyone carrying a bag?|A bag, well yes. The women all had purses, which the butler stored away. Professor Pluot had a leather travel bag, which he kept with him. He seemed quite attached to it.
Was anyone carrying a box?|A box? Oh no. I saw no one with a box.
Did Professor Pluot act oddly during dinner?|I wouldn't say Professor Pluot was acting oddly. I'm not sure what acting oddly would even look like. I can say that he was quiet, compared to the other guests.
Tell me about Miss Red|Miss Red is a wonderful woman, asked me lots of questions about myself. She was the only guest who seemed genuinely curious about me.
